Date,Price,Open,High,Low,Vol.,Change %
3/25/2022,"35,116.60","35,230.20","35,532.90","34,965.30",17.48M,0.00%
3/24/2022,"35,116.60","35,570.70","35,570.70","35,078.80",19.41M,-0.85%
3/23/2022,"35,419.40","35,722.10","35,911.30","35,419.40",22.48M,-0.21%
3/22/2022,"35,495.00","35,495.00","35,532.90","35,041.00",29.86M,0.11%
3/21/2022,"35,457.20","35,343.70","35,722.10","35,116.60",25.11M,0.75%
3/18/2022,"35,192.30","34,965.30","35,457.20","34,851.70",23.05M,1.20%
3/17/2022,"34,776.10","35,268.00","35,343.70","34,738.20",19.45M,-0.54%
3/16/2022,"34,965.30","35,495.00","35,684.30","34,965.30",14.84M,0.11%
3/15/2022,"34,927.40","34,776.10","35,343.70","34,397.70",27.12M,0.76%
3/14/2022,"34,662.50","35,797.80","36,478.90","34,662.50",44.00M,-3.78%
3/11/2022,"36,024.80","37,235.70","37,311.40","35,457.20",57.64M,-3.15%
3/10/2022,"37,197.90","37,841.20","37,916.90","37,160.10",34.88M,-1.40%
3/9/2022,"37,727.70","37,841.20","38,068.30","36,970.90",45.21M,0.81%
3/8/2022,"37,425.00","38,295.30","38,749.40","37,425.00",52.66M,-3.23%
3/7/2022,"38,673.70","37,992.60","39,733.30","37,841.20",49.99M,2.61%
3/4/2022,"37,689.80","38,598.00","38,825.10","37,689.80",43.39M,-0.60%
3/3/2022,"37,916.90","36,024.80","37,916.90","35,797.80",99.11M,6.82%
3/2/2022,"35,495.00","35,570.70","35,835.60","35,268.00",25.86M,0.00%
3/1/2022,"35,495.00","36,100.50","36,403.20","35,457.20",30.39M,-0.64%
2/28/2022,"35,722.10","34,851.70","36,176.20","34,851.70",45.76M,2.83%
2/25/2022,"34,738.20","34,889.60","35,078.80","34,738.20",16.61M,-0.22%
2/24/2022,"34,813.90","35,381.50","35,457.20","34,132.80",29.18M,-1.50%
2/23/2022,"35,343.70","35,305.80","35,722.10","35,003.10",16.88M,0.65%
2/22/2022,"35,116.60","35,041.00","35,268.00","34,586.90",22.97M,-0.54%
2/21/2022,"35,305.80","35,646.40","35,949.10","35,230.20",15.83M,-0.85%
2/18/2022,"35,608.60","34,965.30","36,062.70","34,851.70",27.79M,1.18%
2/17/2022,"35,192.30","34,813.90","35,381.50","34,813.90",14.76M,1.09%
2/16/2022,"34,813.90","34,889.60","35,192.30","34,511.20",12.16M,0.00%
2/15/2022,"34,813.90","34,965.30","35,230.20","34,359.80",20.23M,-0.43%
2/14/2022,"34,965.30","35,192.30","35,949.10","34,927.40",23.72M,-2.01%
2/11/2022,"35,684.30","35,268.00","35,949.10","35,041.00",22.55M,0.32%
2/10/2022,"35,570.70","35,873.50","36,251.90","35,343.70",30.68M,-0.63%
2/9/2022,"35,797.80","34,662.50","36,554.60","34,586.90",52.39M,3.84%
2/8/2022,"34,473.30","32,543.40","34,473.30","32,543.40",34.49M,5.81%
2/7/2022,"32,581.30","32,392.10","33,073.20","31,635.20",21.59M,2.01%
1/28/2022,"31,938.00","31,975.80","32,392.10","31,559.60",19.42M,0.12%
1/27/2022,"31,900.10","32,694.80","32,921.80","31,786.60",19.11M,-2.99%
1/26/2022,"32,884.00","32,921.80","33,640.80","32,884.00",19.77M,0.46%
1/25/2022,"32,732.60","30,651.40","32,770.50","30,424.30",23.25M,6.27%
1/24/2022,"30,802.70","32,619.10","32,694.80","30,802.70",38.25M,-6.00%
1/21/2022,"32,770.50","33,300.30","33,640.80","32,619.10",21.16M,-1.59%
1/20/2022,"33,300.30","33,148.90","33,451.60","32,770.50",19.07M,1.15%
1/19/2022,"32,921.80","33,603.00","33,716.50","32,884.00",23.02M,-1.14%
1/18/2022,"33,300.30","33,678.70","34,246.30","32,543.40",27.87M,-1.57%
1/17/2022,"33,830.00","35,003.10","35,192.30","33,830.00",28.16M,-3.35%
1/14/2022,"35,003.10","35,192.30","35,457.20","34,965.30",10.27M,-0.96%
1/13/2022,"35,343.70","35,041.00","35,797.80","34,965.30",32.49M,1.08%
1/12/2022,"34,965.30","34,208.40","35,003.10","34,170.60",19.09M,2.44%
1/11/2022,"34,132.80","34,851.70","34,851.70","34,132.80",16.59M,-1.20%
1/10/2022,"34,549.00","34,700.40","35,305.80","34,435.50",22.72M,-0.33%
1/7/2022,"34,662.50","34,889.60","34,965.30","34,549.00",21.24M,-0.65%
1/6/2022,"34,889.60","35,192.30","35,343.70","34,889.60",22.32M,-1.50%
1/5/2022,"35,419.40","35,495.00","35,835.60","35,419.40",24.39M,0.11%
1/4/2022,"35,381.50","35,419.40","35,722.10","35,268.00",26.13M,0.75%
12/31/2021,"35,116.60","34,813.90","35,305.80","34,700.40",17.92M,1.53%
12/30/2021,"34,586.90","35,041.00","35,041.00","34,586.90",13.37M,-0.22%
12/29/2021,"34,662.50","34,662.50","35,041.00","34,435.50",19.65M,0.00%
12/28/2021,"34,662.50","34,738.20","35,343.70","34,511.20",16.06M,-0.22%
12/27/2021,"34,738.20","35,230.20","35,268.00","34,473.30",13.88M,-0.33%
12/24/2021,"34,851.70","34,284.10","35,305.80","34,246.30",24.92M,2.45%
12/23/2021,"34,019.20","34,132.80","34,132.80","33,375.90",34.68M,-0.33%
12/22/2021,"34,132.80","35,041.00","35,192.30","34,132.80",32.07M,-2.17%
12/21/2021,"34,889.60","35,495.00","35,532.90","34,889.60",22.22M,-1.71%
12/20/2021,"35,495.00","35,343.70","35,835.60","35,192.30",12.98M,0.43%
12/17/2021,"35,343.70","35,835.60","35,987.00","35,268.00",28.62M,-1.68%
12/16/2021,"35,949.10","36,403.20","36,403.20","35,797.80",14.34M,-0.63%
12/15/2021,"36,176.20","36,327.60","36,781.60","36,100.50",11.76M,0.21%
12/14/2021,"36,100.50","35,230.20","37,160.10","34,965.30",46.38M,2.47%
12/13/2021,"35,230.20","35,230.20","35,684.30","35,041.00",18.60M,0.11%
12/10/2021,"35,192.30","35,608.60","35,722.10","35,116.60",25.26M,-1.27%
12/9/2021,"35,646.40","35,495.00","35,797.80","35,419.40",13.42M,-0.21%
12/8/2021,"35,722.10","36,251.90","36,251.90","35,608.60",14.44M,-0.84%
12/7/2021,"36,024.80","35,154.50","36,024.80","34,813.90",28.52M,4.04%
12/6/2021,"34,624.70","35,949.10","36,289.70","34,435.50",45.02M,-4.09%
12/3/2021,"36,100.50","36,933.00","37,197.90","36,100.50",28.19M,-1.85%
12/2/2021,"36,781.60","37,235.70","37,273.60","36,781.60",16.68M,-0.82%
12/1/2021,"37,084.40","37,462.80","37,462.80","37,008.70",17.97M,0.10%
11/30/2021,"37,046.50","37,046.50","37,803.40","36,706.00",28.83M,1.14%
11/29/2021,"36,630.30","36,478.90","37,008.70","36,478.90",28.34M,-1.33%
11/26/2021,"37,122.20","37,311.40","37,803.40","37,084.40",34.75M,-0.41%
11/25/2021,"37,273.60","36,857.30","37,349.30","36,857.30",28.29M,1.23%
11/24/2021,"36,819.50","37,462.80","37,614.20","36,706.00",35.26M,-1.82%
11/23/2021,"37,500.60","37,008.70","37,689.80","36,781.60",20.34M,1.85%
11/22/2021,"36,819.50","36,478.90","37,235.70","36,327.60",29.42M,1.35%
11/19/2021,"36,327.60","37,538.50","37,614.20","36,251.90",63.01M,-3.90%
11/18/2021,"37,803.40","38,900.80","38,900.80","37,538.50",76.19M,-2.82%
11/17/2021,"38,900.80","39,354.90","39,808.90","38,900.80",39.00M,-1.15%
11/16/2021,"39,354.90","40,338.70","40,565.80","39,354.90",51.71M,-2.99%
11/15/2021,"40,565.80","41,246.90","41,322.60","40,338.70",39.84M,-1.83%
11/12/2021,"41,322.60","40,792.80","41,474.00","40,717.10",27.10M,1.11%
11/11/2021,"40,868.50","41,625.30","41,852.40","40,565.80",70.58M,-2.35%
11/10/2021,"41,852.40","42,760.60","42,836.20","41,776.70",56.39M,-2.12%
11/9/2021,"42,760.60","42,987.60","43,593.10","42,684.90",32.13M,-0.53%
11/8/2021,"42,987.60","43,063.30","43,139.00","42,533.50",27.63M,0.35%
11/5/2021,"42,836.20","42,609.20","43,139.00","42,155.10",25.19M,0.53%
11/4/2021,"42,609.20","42,079.40","43,063.30","42,079.40",19.30M,1.26%
11/3/2021,"42,079.40","42,533.50","42,609.20","41,852.40",38.83M,0.18%
11/2/2021,"42,003.70","42,003.70","42,684.90","41,776.70",33.37M,-0.36%
11/1/2021,"42,155.10","43,214.70","43,214.70","42,155.10",58.78M,-2.45%
10/29/2021,"43,214.70","43,895.80","43,971.50","43,214.70",31.04M,-1.55%
10/28/2021,"43,895.80","43,820.10","44,047.20","43,366.00",28.50M,0.17%
10/27/2021,"43,820.10","42,609.20","43,820.10","42,609.20",37.62M,2.84%
10/26/2021,"42,609.20","41,474.00","42,609.20","41,019.90",36.28M,2.18%
10/25/2021,"41,701.00","42,760.60","42,911.90","41,701.00",54.09M,-2.82%
10/22/2021,"42,911.90","43,441.70","43,744.40","42,911.90",25.80M,-0.87%
10/21/2021,"43,290.30","43,290.30","44,047.20","42,836.20",50.95M,0.53%
10/20/2021,"43,063.30","43,441.70","43,517.40","42,230.80",45.06M,-0.52%
10/19/2021,"43,290.30","43,593.10","43,895.80","43,214.70",30.84M,-1.21%
10/18/2021,"43,820.10","43,593.10","44,198.50","43,517.40",26.96M,1.05%
10/15/2021,"43,366.00","43,366.00","43,668.70","43,139.00",24.08M,0.88%
10/14/2021,"42,987.60","42,987.60","43,441.70","42,911.90",25.06M,0.00%
10/13/2021,"42,987.60","43,139.00","43,441.70","42,760.60",20.26M,-0.35%
10/12/2021,"43,139.00","43,366.00","43,593.10","42,987.60",23.54M,-0.35%
10/11/2021,"43,290.30","42,457.80","43,366.00","42,155.10",33.21M,2.69%
10/8/2021,"42,155.10","42,230.80","42,533.50","41,776.70",28.20M,0.18%
10/7/2021,"42,079.40","42,684.90","42,911.90","42,003.70",34.80M,-0.89%
10/6/2021,"42,457.80","42,230.80","42,609.20","41,928.10",34.80M,1.45%
10/5/2021,"41,852.40","42,003.70","42,306.50","41,701.00",34.54M,-0.36%
10/4/2021,"42,003.70","40,792.80","42,306.50","40,792.80",58.96M,3.93%
10/1/2021,"40,414.40","40,036.00","40,641.50","39,884.60",39.62M,0.95%
9/30/2021,"40,036.00","40,641.50","40,641.50","39,960.30",30.09M,-0.75%
9/29/2021,"40,338.70","39,884.60","40,565.80","39,808.90",45.37M,1.33%
9/28/2021,"39,808.90","38,295.30","39,884.60","38,295.30",46.29M,3.54%
9/27/2021,"38,446.70","38,900.80","39,354.90","38,446.70",37.01M,0.00%
9/24/2021,"38,446.70","38,598.00","39,127.80","38,371.00",20.65M,-0.39%
9/23/2021,"38,598.00","38,825.10","39,279.20","38,522.30",23.11M,0.20%
9/22/2021,"38,522.30","38,446.70","38,673.70","38,295.30",17.09M,0.20%
9/21/2021,"38,446.70","38,295.30","38,749.40","37,992.60",37.50M,-0.97%
9/20/2021,"38,825.10","39,657.60","39,657.60","38,522.30",42.03M,-0.97%
9/17/2021,"39,203.50","38,900.80","39,354.90","38,825.10",31.91M,0.97%
9/16/2021,"38,825.10","39,354.90","39,581.90","38,825.10",23.38M,-0.58%
9/15/2021,"39,052.10","37,916.90","39,354.90","37,765.50",33.68M,2.58%
9/14/2021,"38,068.30","38,446.70","38,598.00","37,992.60",29.16M,-0.98%
9/13/2021,"38,446.70","38,976.40","38,976.40","38,371.00",35.40M,-1.36%
9/10/2021,"38,976.40","39,354.90","39,506.20","38,900.80",22.38M,-0.77%
9/9/2021,"39,279.20","39,052.10","39,657.60","38,976.40",47.73M,1.17%
9/8/2021,"38,825.10","38,371.00","39,279.20","38,143.90",42.95M,1.18%
9/7/2021,"38,371.00","39,052.10","39,354.90","38,295.30",40.62M,-0.98%
9/6/2021,"38,749.40","37,462.80","38,900.80","37,387.10",62.53M,4.07%
9/1/2021,"37,235.70","37,084.40","37,500.60","37,008.70",19.59M,-0.20%
8/31/2021,"37,311.40","37,084.40","37,614.20","36,933.00",33.63M,1.23%
8/30/2021,"36,857.30","36,327.60","36,895.20","36,062.70",22.11M,2.31%
8/27/2021,"36,024.80","35,949.10","36,214.00","35,381.50",31.84M,-0.21%
8/26/2021,"36,100.50","36,781.60","36,781.60","35,987.00",18.02M,-1.45%
